objid,ra,dec,ug,gr,ri,iz,dered_g,specobjid,specClass,z
587727179524276278,2.4907028,-9.90191108,1.220655,0.448019,0.128633,0.034328,17.818655,183464156068839424,1,-3.29046E-4
587727179524276340,2.47297544,-9.90269638,1.506559,0.745413,0.323854,0.289625,17.619705,183464156064645120,2,0.076351
587727179524341829,2.56312184,-9.93979494,0.143055,0.064159,0.126616,0.288376,19.890093,183464156039479296,3,2.11125
587727179524341791,2.64423445,-9.9566105,0.204906,-0.032503,-6.847382E-3,0.076765,18.847027,183745617300815872,3,2.037
587727180060164141,0.21752821,-9.53094379,1.010283,0.336815,0.253731,0.108009,17.451191,183182689380073472,2,0.076928
587727180060164172,0.13072246,-9.4655932,1.893152,0.874695,0.4014,0.28821,16.898247,183182689363296256,2,0.07541
587727180060164309,0.27111761,-9.48437393,1.101997,0.66975,0.339411,0.156977,18.09395,183182689463959552,2,0.169541
587727180060360863,0.72665525,-9.51615269,1.96014,1.218071,0.482296,0.334917,18.684046,183182689619148800,2,0.19026
587727180060360933,0.60730319,-9.36662711,1.214096,0.408512,0.23065,0.036514,17.906059,183182689635926016,2,0.046449
587727179524341870,2.65539931,-9.91861527,1.412361,0.750027,0.506235,0.331877,17.770376,183464156052062208,2,0.101444
587727180060295268,0.4637212,-9.40843579,1.302212,0.548491,0.343416,0.273251,17.525789,183182689468153856,2,0.075969
587727180060164118,0.20838199,-9.51066507,1.632797,0.612411,0.133816,0.494701,18.955681,183182689392656384,2,0.171222
587727180060360822,0.65054729,-9.51793677,1.404703,0.72373,0.387094,0.270643,18.151617,183182689640120320,2,0.112671
587727179524341875,2.66144546,-9.92080988,1.275608,0.613182,0.347734,0.22928,17.080107,183745617330176000,2,0.100855
587727179524341789,2.63892854,-9.9147904,0.142147,0.010618,0.193554,-0.059605,19.038399,183464156018507776,3,1.55183
587727180060360857,0.70433471,-9.42977365,1.360731,0.711979,0.399969,0.231749,18.299931,183182689627537408,2,0.131665
587727180060622950,1.34173891,-9.54188583,-2.607346E-3,-0.224422,-0.445501,-0.275461,20.121426,183464155330641920,1,5.32801E-4
587727180060622870,1.29515107,-9.42636789,-0.215881,-0.121328,0.513319,0.02755,19.419302,183182689946304512,3,1.8603
